num,sheet,http / sip ,,,,,http / ftp,,,,,sip / ftp,,,,,http / http ( 50 % diff),,,,,sip / sip (50% diff),,,,,ftp / ftp (50 % diff),,,,,http / http (100% diff),,,,,sip / sip ( 100% diff),,,,,ftp / ftp (100 % diff),,,,
,,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch
1,outputSheet 1,0.516,0.7333,0.8924,0.2851,0.5761,0.1063,0.2524,0.8484,0.1312,0.5171,0.1175,0.2542,0.8525,0.1485,0.5176,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9916,0.9959,0.8219,0.8656,0.9993,1,?,0.5395,0.7398,0.9122,0.8105,0.7359,0.216,0.5437,0.9775,0.8385,0.9529,0.5655,0.7001,0.6424,1,1,0.1316,0.5174
2,outputSheet 2,0.4657,0.7081,0.8924,0.2535,0.5555,0.097,0.2576,0.8392,0.1889,0.5364,0.1177,0.2441,0.8525,0.1484,0.5176,0.9964,0.9497,0.9407,0.6898,0.6898,0.9997,1,0.9961,0.8213,0.8653,0.9993,1,?,0.5468,0.7492,0.9681,0.8137,0.9282,0.397,0.6479,0.979,0.8583,0.9532,0.5656,0.7,0.4349,1,1,0,0
3,outputSheet 3,0.5162,0.7383,0.8457,0.2843,0.5762,0.104,0.2524,0.8478,0.1312,0.5172,0.116,0.2508,0.852,0.1486,0.5177,0.9905,0.9038,0.8987,0.4843,0.5699,0.9997,0.9915,0.9959,0.821,0.865,0.9994,1,?,0.6627,0.8079,0.9227,0.75,0.8331,0.3615,0.6074,0.9782,0.845,0.9535,0.5649,0.6996,0.9633,1,1,0.1083,0.5184
4,outputSheet 4,0.4904,0.7134,0.8927,0.2713,0.5835,0.1054,0.2485,0.846,0.165,0.5244,0.1181,0.2508,0.8521,0.1485,0.5178,1,1,1,1,1,0.9997,0.9831,0.9961,0.8216,0.8655,0.9993,1,?,0.5449,0.7457,0.9375,0.7826,0.805,0.3301,0.5949,0.979,0.845,0.9533,0.5651,0.7,0.4337,1,1,0,0
5,outputSheet 5,0.5157,0.75,0.8725,0.2849,0.5761,0.1045,0.2524,0.8488,0.1304,0.5169,0.1152,0.2508,0.8528,0.1479,0.5175,1,1,1,1,1,0.9997,1,0.9961,0.8217,0.8652,0.9992,1,?,0.5547,0.7448,0.9105,0.7987,0.7381,0.2152,0.543,0.9786,0.845,0.9527,0.5655,0.6997,0.9386,0.8945,0.8945,0.1767,0.5811
6,outputSheet 6,0.4895,0.707,0.8922,0.272,0.5841,0.1024,0.2485,0.8471,0.1639,0.5243,0.1165,0.2475,0.8533,0.1477,0.5175,0.9997,0.9934,0.9728,0.8275,0.8275,0.9997,1,0.996,0.8214,0.8654,0.9992,1,?,0.5281,0.732,0.9476,0.7888,0.8612,0.3667,0.6114,0.9787,0.8516,0.9531,0.5653,0.7002,0.9961,1,1,0.286,0.6063
7,outputSheet 7,0.5179,0.7432,0.8724,0.2857,0.5766,0.1045,0.2524,0.8496,0.1297,0.5168,0.1176,0.2475,0.8536,0.1475,0.5176,0.8851,0.8085,0.8885,0.4681,0.5594,0.9997,1,0.9961,0.8204,0.8647,0.9991,1,?,0.5294,0.7305,0.9224,0.7908,0.7953,0.2923,0.5665,0.9781,0.8516,0.9528,0.5652,0.6998,0.9538,1,1,0.1298,0.5227
8,outputSheet 8,0.5177,0.75,0.8926,0.2859,0.5772,0.1032,0.2524,0.8451,0.1329,0.5174,0.1152,0.2508,0.8495,0.15,0.5182,0.8851,0.8085,0.8885,0.4681,0.5594,0.9997,0.9831,0.996,0.8213,0.8653,0.9994,1,?,0.658,0.7981,0.9224,0.7961,0.7953,0.2826,0.5674,0.9783,0.845,0.953,0.5657,0.6999,0.6517,1,1,0,0
9,outputSheet 9,0.4891,0.707,0.8926,0.2706,0.5831,0.1015,0.2485,0.8456,0.165,0.5247,0.1157,0.2475,0.8518,0.1481,0.5179,0.9978,0.9618,0.9539,0.7414,0.7414,0.9997,1,0.9961,0.8215,0.8656,0.9993,1,?,0.6787,0.806,0.9485,0.7312,0.9058,0.3761,0.6494,0.9781,0.8516,0.953,0.565,0.6995,0.9441,0.9805,0.9805,0.1747,0.5607
10,outputSheet 10,0.517,0.7315,0.8723,0.2859,0.5765,0.1027,0.2524,0.8474,0.1311,0.5172,0.1156,0.2475,0.8516,0.1488,0.5178,1,1,1,1,1,0.9997,1,0.9959,0.8218,0.8655,0.9992,1,?,0.6435,0.784,0.9088,0.7857,0.7457,0.2466,0.5526,0.9786,0.8516,0.9527,0.5657,0.6999,0.9984,1,1,0.3097,0.5999
